Emoticon,Description
:‑),Happy_face_or_smiley
:-)),Very_happy
:-))),Very_very_Happy_face_or_smiley
:),Happy_face_or_smiley
:)),Very_Happy_face_or_smiley
:))),Very_very_Happy_face_or_smiley
:-],Happy_face_or_smiley
:],Happy_face_or_smiley
:-3,Happy_face_smiley
:3,Happy_face_smiley
:->,Happy_face_smiley
:>,Happy_face_smiley
8-),Happy_face_smiley
:o),Happy_face_smiley
:-},Happy_face_smiley
:},Happy_face_smiley
:-),Happy_face_smiley
:c),Happy_face_smiley
:^),Happy_face_smiley
=],Happy_face_smiley
=),Happy_face_smiley
:‑D,"Laughing,_big_grin_or_laugh_with_glasses"
:D,"Laughing,_big_grin_or_laugh_with_glasses"
8‑D,"Laughing,_big_grin_or_laugh_with_glasses"
8D,"Laughing,_big_grin_or_laugh_with_glasses"
X‑D,"Laughing,_big_grin_or_laugh_with_glasses"
XD,"Laughing,_big_grin_or_laugh_with_glasses"
#NAME?,"Laughing,_big_grin_or_laugh_with_glasses"
3,"Laughing,_big_grin_or_laugh_with_glasses"
B^D,"Laughing,_big_grin_or_laugh_with_glasses"
:-(,"Frown,_sad,_angry_or_pouting"
:‑(,"Frown,_sad,_angry_or_pouting"
:(,"Frown,_sad,_angry_or_pouting"
:‑c,"Frown,_sad,_angry_or_pouting"
:c,"Frown,_sad,_angry_or_pouting"
:‑<,"Frown,_sad,_angry_or_pouting"
:<,"Frown,_sad,_angry_or_pouting"
:‑[,"Frown,_sad,_angry_or_pouting"
:[,"Frown,_sad,_angry_or_pouting"
:-||,"Frown,_sad,_angry_or_pouting"
>:[,"Frown,_sad,_angry_or_pouting"
:{,"Frown,_sad,_angry_or_pouting"
:@,"Frown,_sad,_angry_or_pouting"
>:(,"Frown,_sad,_angry_or_pouting"
:'‑(,Crying
:'(,Crying
:'‑),Tears_of_happiness
:'),Tears_of_happiness
D‑':,Horror
D:<,Disgust
D:,Sadness
D8,Great_dismay
D;,Great_dismay
D=,Great_dismay
DX,Great_dismay
:‑O,Surprise
:O,Surprise
:‑o,Surprise
:o,Surprise
:-0,Shock
8‑0,Yawn
>:O,Yawn
:-*,Kiss
:*,Kiss
:X,Kiss
;‑),Wink_or_smirk
;),Wink_or_smirk
*-),Wink_or_smirk
*),Wink_or_smirk
;‑],Wink_or_smirk
;],Wink_or_smirk
;^),Wink_or_smirk
":‑,",Wink_or_smirk
;D,Wink_or_smirk
:‑P,"Tongue_sticking_out,_cheeky,_playful_or_blowing_a_raspberry"
:P,"Tongue_sticking_out,_cheeky,_playful_or_blowing_a_raspberry"
X‑P,"Tongue_sticking_out,_cheeky,_playful_or_blowing_a_raspberry"
XP,"Tongue_sticking_out,_cheeky,_playful_or_blowing_a_raspberry"
:‑Þ,"Tongue_sticking_out,_cheeky,_playful_or_blowing_a_raspberry"
:Þ,"Tongue_sticking_out,_cheeky,_playful_or_blowing_a_raspberry"
:b,"Tongue_sticking_out,_cheeky,_playful_or_blowing_a_raspberry"
d:,"Tongue_sticking_out,_cheeky,_playful_or_blowing_a_raspberry"
#NAME?,"Tongue_sticking_out,_cheeky,_playful_or_blowing_a_raspberry"
>:P,"Tongue_sticking_out,_cheeky,_playful_or_blowing_a_raspberry"
:‑/,"Skeptical,_annoyed,_undecided,_uneasy_or_hesitant"
:/,"Skeptical,_annoyed,_undecided,_uneasy_or_hesitant"
:-[.],"Skeptical,_annoyed,_undecided,_uneasy_or_hesitant"
>:[(\)],"Skeptical,_annoyed,_undecided,_uneasy_or_hesitant"
>:/,"Skeptical,_annoyed,_undecided,_uneasy_or_hesitant"
:[(\)],"Skeptical,_annoyed,_undecided,_uneasy_or_hesitant"
=/,"Skeptical,_annoyed,_undecided,_uneasy_or_hesitant"
=[(\)],"Skeptical,_annoyed,_undecided,_uneasy_or_hesitant"
:L,"Skeptical,_annoyed,_undecided,_uneasy_or_hesitant"
#NAME?,"Skeptical,_annoyed,_undecided,_uneasy_or_hesitant"
:S,"Skeptical,_annoyed,_undecided,_uneasy_or_hesitant"
:‑|,Straight_face
:|,Straight_face
:$,Embarrassed_or_blushing
:‑x,Sealed_lips_or_wearing_braces_or_tongue-tied
:x,Sealed_lips_or_wearing_braces_or_tongue-tied
:‑#,Sealed_lips_or_wearing_braces_or_tongue-tied
:#,Sealed_lips_or_wearing_braces_or_tongue-tied
:‑&,Sealed_lips_or_wearing_braces_or_tongue-tied
:&,Sealed_lips_or_wearing_braces_or_tongue-tied
O:‑),"Angel,_saint_or_innocent"
O:),"Angel,_saint_or_innocent"
0:‑3,"Angel,_saint_or_innocent"
12:03:00_AM,"Angel,_saint_or_innocent"
0:‑),"Angel,_saint_or_innocent"
0:),"Angel,_saint_or_innocent"
:‑b,"Tongue_sticking_out,_cheeky,_playful_or_blowing_a_raspberry"
0;^),"Angel,_saint_or_innocent"
>:‑),Evil_or_devilish
>:),Evil_or_devilish
}:‑),Evil_or_devilish
}:),Evil_or_devilish
3:‑),Evil_or_devilish
3:),Evil_or_devilish
>;),Evil_or_devilish
|;‑),Cool
|‑O,Bored
:‑J,Tongue-in-cheek
#‑),Party_all_night
%‑),Drunk_or_confused
%),Drunk_or_confused
:-###..,Being_sick
:###..,Being_sick
<:‑|,Dump
(>_<),Troubled
(>_<)>,Troubled
(';'),Baby
(^^>``,Nervous_or_Embarrassed_or_Troubled_or_Shy_or_Sweat_drop
(^_^;),Nervous_or_Embarrassed_or_Troubled_or_Shy_or_Sweat_drop
(-_-;),Nervous_or_Embarrassed_or_Troubled_or_Shy_or_Sweat_drop
(~_~;)_(・.・;),Nervous_or_Embarrassed_or_Troubled_or_Shy_or_Sweat_drop
(-_-)zzz,Sleeping
(^_-),Wink
((+_+)),Confused
(+o+),Confused
(o|o),Ultraman
^_^,Joyful
(^_^)/,Joyful
(^O^)／,Joyful
(^o^)／,Joyful
(__),"Kowtow_as_a_sign_of_respect,_or_dogeza_for_apology"
_(._.)_,"Kowtow_as_a_sign_of_respect,_or_dogeza_for_apology"
<(___)>,"Kowtow_as_a_sign_of_respect,_or_dogeza_for_apology"
<m(__)m>,"Kowtow_as_a_sign_of_respect,_or_dogeza_for_apology"
m(__)m,"Kowtow_as_a_sign_of_respect,_or_dogeza_for_apology"
m(___)m,"Kowtow_as_a_sign_of_respect,_or_dogeza_for_apology"
('_'),Sad_or_Crying
(/_;),Sad_or_Crying
(T_T)_(;_;),Sad_or_Crying
(;_;,Sad_of_Crying
(;_:),Sad_or_Crying
(;O;),Sad_or_Crying
(:_;),Sad_or_Crying
(ToT),Sad_or_Crying
;_;,Sad_or_Crying
;-;,Sad_or_Crying
;n;,Sad_or_Crying
;;,Sad_or_Crying
Q.Q,Sad_or_Crying
T.T,Sad_or_Crying
QQ,Sad_or_Crying
Q_Q,Sad_or_Crying
(-.-),Shame
(-_-),Shame
(一一),Shame
(；一_一),Shame
(=_=),Tired
(=^·^=),cat
(=^··^=),cat
=_^= ,cat
(..),Looking down
(._.),Looking down
^m^,Giggling with hand covering mouth
(・・?,Confusion
(?_?),Confusion
>^_^<,Normal Laugh
<^!^>,Normal Laugh
^/^,Normal Laugh
（*^_^*）,Normal Laugh
(^<^) (^.^),Normal Laugh
(^^),Normal Laugh
(^.^),Normal Laugh
(^_^.),Normal Laugh
(^_^),Normal Laugh
(^J^),Normal Laugh
(*^.^*),Normal Laugh
(^—^）,Normal Laugh
(#^.^#),Normal Laugh
（^—^）,Waving
(;_;)/~~~,Waving
(^.^)/~~~,Waving
(-_-)/~~~ ($··)/~~~,Waving
(T_T)/~~~,Waving
(ToT)/~~~,Waving
(*^0^*),Excited
(*_*),Amazed
(*_*;,Amazed
(+_+) (@_@),Amazed
(*^^)v,"Laughing,Cheerful"
(^_^)v,"Laughing,Cheerful"
((d[-_-]b)),"Headphones,Listening to music"
"(-""-)",Worried
(ーー;),Worried
(^0_0^),Eyeglasses
(＾ｖ＾),Happy
(＾ｕ＾),Happy
(^)o(^),Happy
(^O^),Happy
(^o^),Happy
)^o^(,Happy
:O o_O,Surprised
o_0,Surprised
o.O,Surpised
(o.o),Surprised
oO,Surprised
(*￣m￣),Dissatisfied
(‘A`),Snubbed or Deflated
